plant,part,parasite,group,concentration_mgml,auc,n_days_obs,died,peak_lev,onset_day,clear_day,day40_lev,block
A. indica,leaves,T. congolense,0.005mg/ml,0.005,51.96,18,TRUE,5,5,18,NA,A. indica | leaves | T. congolense
M. oleifera,seeds,T. evansi,0.01mg/ml,0.01,0,40,FALSE,0,NA,NA,0,M. oleifera | seeds | T. evansi
M. oleifera,seeds,T. evansi,0.5mg/ml,0.5,0,40,FALSE,0,NA,NA,0,M. oleifera | seeds | T. evansi
M. oleifera,seeds,T. evansi,100mg/ml,100,0,40,FALSE,0,NA,NA,0,M. oleifera | seeds | T. evansi
M. oleifera,seeds,T. evansi,10mg/ml,10,0,40,FALSE,0,NA,NA,0,M. oleifera | seeds | T. evansi
M. oleifera,seeds,T. evansi,Negative Control,NA,44.86,20,TRUE,5,8,20,NA,M. oleifera | seeds | T. evansi
M. oleifera,seeds,T. evansi,Positive Control,NA,0,40,FALSE,0,NA,NA,0,M. oleifera | seeds | T. evansi
M. oleifera,stem bark,T. congolense,0.005mg/ml,0.005,0,40,FALSE,0,NA,NA,0,M. oleifera | stem bark | T. congolense
M. oleifera,stem bark,T. congolense,0.01mg/ml,0.01,0,40,FALSE,0,NA,NA,0,M. oleifera | stem bark | T. congolense
M. oleifera,stem bark,T. congolense,0.5mg/ml,0.5,0,40,FALSE,0,NA,NA,0,M. oleifera | stem bark | T. congolense
M. oleifera,stem bark,T. congolense,100mg/ml,100,0,40,FALSE,0,NA,NA,0,M. oleifera | stem bark | T. congolense
M. oleifera,stem bark,T. congolense,10mg/ml,10,0,40,FALSE,0,NA,NA,0,M. oleifera | stem bark | T. congolense
M. oleifera,stem bark,T. congolense,Negative Control,NA,29.1,15,TRUE,5,8,15,NA,M. oleifera | stem bark | T. congolense
M. oleifera,stem bark,T. congolense,Positive Control,NA,0,40,FALSE,0,NA,NA,0,M. oleifera | stem bark | T. congolense
M. oleifera,stem bark,T. evansi,0.005mg/ml,0.005,59.28,20,TRUE,5,6,20,NA,M. oleifera | stem bark | T. evansi
M. oleifera,stem bark,T. evansi,0.01mg/ml,0.01,85.67,26,TRUE,5,6,26,NA,M. oleifera | stem bark | T. evansi
M. oleifera,stem bark,T. evansi,0.5mg/ml,0.5,0,40,FALSE,0,NA,NA,0,M. oleifera | stem bark | T. evansi
M. oleifera,stem bark,T. evansi,100mg/ml,100,0,40,FALSE,0,NA,NA,0,M. oleifera | stem bark | T. evansi
M. oleifera,stem bark,T. evansi,10mg/ml,10,0,40,FALSE,0,NA,NA,0,M. oleifera | stem bark | T. evansi
M. oleifera,stem bark,T. evansi,Negative Control,NA,51.45,17,TRUE,5,5,17,NA,M. oleifera | stem bark | T. evansi
M. oleifera,stem bark,T. evansi,Positive Control,NA,0,40,FALSE,0,NA,NA,0,M. oleifera | stem bark | T. evansi
